date;category;variable;value
2020-07-17;response;C1_School closing;1
2020-07-17;response;C4_Restrictions on gatherings;3
2020-07-17;response;C6_Stay at home requirements;0
2020-07-18;response;C1_School closing;1
2020-07-18;response;C4_Restrictions on gatherings;3
2020-07-18;response;C6_Stay at home requirements;0
2020-07-19;response;C1_School closing;1
2020-07-19;response;C4_Restrictions on gatherings;3
2020-07-19;response;C6_Stay at home requirements;0
2020-07-20;response;C1_School closing;1
2020-07-20;response;C4_Restrictions on gatherings;3
2020-07-20;response;C6_Stay at home requirements;0
2020-07-21;response;C1_School closing;1
2020-07-21;response;C4_Restrictions on gatherings;3
2020-07-21;response;C6_Stay at home requirements;0
2020-07-22;response;C1_School closing;1
2020-07-22;response;C4_Restrictions on gatherings;3
2020-07-22;response;C6_Stay at home requirements;0
2020-07-23;response;C1_School closing;1
2020-07-23;response;C4_Restrictions on gatherings;3
2020-07-23;response;C6_Stay at home requirements;0
2020-07-24;response;C1_School closing;1
2020-07-24;response;C4_Restrictions on gatherings;3
2020-07-24;response;C6_Stay at home requirements;0
2020-07-25;response;C1_School closing;1
2020-07-25;response;C4_Restrictions on gatherings;3
2020-07-25;response;C6_Stay at home requirements;0
2020-07-26;response;C1_School closing;1
2020-07-26;response;C4_Restrictions on gatherings;3
2020-07-26;response;C6_Stay at home requirements;0
2020-07-27;response;C1_School closing;1
2020-07-27;response;C4_Restrictions on gatherings;3
2020-07-27;response;C6_Stay at home requirements;0
2020-07-28;response;C1_School closing;1
2020-07-28;response;C4_Restrictions on gatherings;3
2020-07-28;response;C6_Stay at home requirements;0
2020-07-29;response;C1_School closing;1
2020-07-29;response;C4_Restrictions on gatherings;3
2020-07-29;response;C6_Stay at home requirements;0
2020-07-30;response;C1_School closing;1
